loc_rowid,tce_plnt_num,tce_period,tce_period_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_duration,tce_duration_err,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
13962,1,3.7965,4.88E-06,1.05E-01,1.77E-02,1.7580239,2.49E-02,55.33,1.26E+00,7.768,1.71E-01,11.7,1.97E+00,1.23E+03,2.57E+02,6137,235,4.46,0.28,1.018,0.417
13963,1,2.85748,6.36E-05,8.03E-03,1.52E-02,2.386154,1.45E+01,82.85,5.98E+02,8.813,1.09E+01,0.7306,1.38E+00,1.12E+03,2.19E+02,5354,212,4.51,0.24,0.834,0.319
13964,1,0.634834,1.66E-05,1.94E-03,2.75E-04,2.2357816,9.82E-01,75.71,2.48E+01,1.814,2.12E-01,1.413,2.00E-01,6.98E+03,2.15E+03,8955,371,3.3,0.58,6.68,4.071
13965,1,0.500425,2.57E-03,2.78E-04,1.41E-02,2.1061995,4.70E+02,88.03,1.08E+05,1.811,1.17E+02,0.07839,3.98E+00,4.53E+03,7.10E+02,7903,319,3.89,0.22,2.587,0.783
13966,2,0.500432,3.90E-05,2.65E-03,1.33E-03,2.14913,4.37E+00,75.71,1.27E+02,1.514,8.51E-01,0.7487,3.76E-01,4.53E+03,7.10E+02,7903,319,3.89,0.22,2.587,0.783
13967,1,0.581082,1.18E-05,2.00E-02,4.65E-03,1.5277618,5.74E-01,50.49,1.98E+01,0.8987,4.71E-02,1.592,3.71E-01,1.50E+03,8.42E+01,4395,172,4.57,0.05,0.73,0.059
13968,1,19.3295,6.59E-05,2.85E-02,1.60E-02,34.396019,6.41E+01,89.14,6.13E+00,3.821,4.52E-01,2.429,1.37E+00,5.34E+02,3.85E+01,5023,172,4.59,0.1,0.78,0.099
13969,1,4.22032,2.05E-04,2.10E-02,7.90E-03,1.0736844,1.92E-02,23.16,4.64E+00,7.827,9.87E-01,6.801,2.56E+00,2.26E+03,5.88E+02,7187,280,3.66,0.49,2.966,1.524
13970,3,0.975679,0.00E+00,1.97E-02,0.00E+00,3.0255962,0.00E+00,88.11,0.00E+00,2.5,0.00E+00,2.914,0.00E+00,2.43E+03,0.00E+00,6626,219,4.2,0.24,1.354,0.577
13971,1,1.06179,1.20E-05,5.75E-03,8.88E-03,1.9288137,1.24E+01,88.46,5.07E+03,4.224,9.77E+00,1.199,1.85E+00,2.95E+03,7.49E+02,7375,307,4.05,0.29,1.911,0.958
