tce_plnt_num,tce_period,tce_ror,tce_dor,tce_incl,tce_prad,tce_steff,tce_sradius
1,0.629008,0.00398,3.3761697999999996,88.24,0.7839,6734,1.804
1,0.6746340000000001,0.00229,1.0523836000000002,31.22,0.505,9990,2.017
2,1.34942,0.00309,3.0977314,83.98,0.6806,9990,2.017
3,1.3494700000000002,0.00366,3.6988271,79.09,0.8054,9990,2.017
1,2.98032,0.00515,1.2753135,45.18,0.802,6404,1.4280000000000002
1,3.7942400000000003,0.00633,4.255969400000001,87.3,1.8559999999999999,6489,2.6860000000000004
1,27.2481,0.00823,19.496622,89.99,0.7486,5529,0.8340000000000001
1,1.69146,0.0129,1.0256693000000001,13.5,2.135,6452,1.5119999999999998
2,3.38294,0.00618,2.4110513,68.08,1.02,6452,1.5119999999999998
3,3.38292,0.0075,1.1322163,32.17,1.237,6452,1.5119999999999998
1,0.862877,0.0158,1.6747427,57.49,2.548,6991,1.475
2,10.3069,0.285,13.448645,89.57,37.84,5912,1.217
3,10.307,0.41700000000000004,4.242176000000001,76.38,55.33,5912,1.217
1,449.504,0.0288,337.5975,89.91,2.6180000000000003,5523,0.8320000000000001
1,13.4472,0.0338,45.369434000000005,89.87,3.835,6276,1.041
2,0.499972,0.00824,2.0007463,69.52,2.214,7338,2.4619999999999997
1,26.0204,0.0312,40.890599,89.53,3.0589999999999997,5806,0.899
1,21.1653,0.0124,10.700564,89.42,1.581,6425,1.1640000000000001
1,0.6683279999999999,3.84e-05,1.0497943,27.65,0.01124,8230,2.685
1,3.5146800000000002,0.00539,2.6300228999999997,70.35,0.9501,6908,1.614
2,3.51349,0.0063,1.1905503,37.65,1.11,6908,1.614
1,2.4894,0.00967,1.2017141000000002,39.99,3.085,8757,2.923
2,0.723891,0.0070799999999999995,1.9375871,74.93,2.2569999999999997,8757,2.923
1,0.9682459999999999,0.00474,1.0851261,89.23,0.9394,5340,1.8159999999999998
1,1.87905,0.00294,2.1905509,76.79,1.472,8020,4.5889999999999995
2,1.87845,0.00352,1.2232212,41.98,1.761,8020,4.5889999999999995
2,39.8415,0.11699999999999999,20.720360999999997,87.23,31.64,6070,2.47
1,1.41352,0.0071,1.9632755000000002,75.38,1.294,7032,1.671
2,4.240469999999999,0.0126,3.230315,77.44,2.293,7032,1.671
3,2.82707,0.011,1.7399753,65.44,2.004,7032,1.671
1,1.93658,0.00806,1.7142255000000002,66.16,0.8933,6096,1.016
2,1.93652,0.007640000000000001,2.4515715,89.11,0.8469,6096,1.016
1,0.968245,0.00503,1.3865328000000001,89.81,0.5441,6170,0.992
1,0.9681549999999999,0.00566,1.0276338,15.34,0.6397,5808,1.036
1,550.335,0.0412,385.73222999999996,89.98,3.1430000000000002,4620,0.6990000000000001
2,299.74,0.0361,302.39423,89.89,2.755,4620,0.6990000000000001
1,1.45433,0.00415,1.4028838,60.09,0.9061,8038,2.0
1,1.93859,0.00599,2.0126397000000003,82.83,0.6293,6347,0.9620000000000001
1,8.18736,0.0213,19.817619,88.96,1.9769999999999999,5251,0.8490000000000001
2,76.051,0.0182,86.132435,89.85,1.686,5251,0.8490000000000001
1,25.9341,0.0214,23.468189000000002,87.92,2.866,5952,1.225
2,83.4463,0.0218,70.276264,89.42,2.915,5952,1.225
1,0.508591,0.0049,1.1652771,39.41,2.009,7524,3.755
2,0.9049389999999999,0.0104,1.3414832,86.81,4.245,7524,3.755
1,1.23358,0.0136,2.112243,87.29,2.376,6985,1.605
2,1.23355,0.0115,1.9084307,75.02,2.019,6985,1.605
